Company_ID,Year,Carbon_Emissions,Energy_Use,Waste_Recycled
C0001,2015,42514.59,13399.69,71.91
C0001,2016,25231.34,6365.57,81.68
C0001,2017,10577.81,74769.05,52.42
C0001,2018,37095.45,29861.89,40.24
C0001,2019,21515.23,88379.43,42.32
C0001,2020,30136.75,55905.81,68.79
C0001,2021,6256.00,50459.49,59.73
C0001,2022,31947.62,78417.78,54.05
C0001,2023,19303.97,75404.12,34.19
C0001,2024,17375.30,71906.27,81.28
C0002,2015,49015.86,70540.59,74.67
C0002,2016,22189.10,53962.62,29.84
C0002,2017,34223.88,93015.18,45.72
C0002,2018,31758.65,89610.93,57.95
C0002,2019,6110.87,36293.47,51.80
C0002,2020,37648.45,81445.98,47.85
C0002,2021,16834.80,89655.31,70.32
C0002,2022,40148.04,63734.22,23.82
C0002,2023,30774.40,57780.02,53.00
C0002,2024,16537.48,68829.24,38.35
C0003,2015,18458.36,20490.76,25.92
C0003,2016,36843.86,13297.65,52.54
C0003,2017,27952.91,82914.28,32.00
C0003,2018,33749.20,59465.99,38.08
C0003,2019,8757.60,16637.64,55.49
C0003,2020,39561.86,44550.21,88.16
C0003,2021,16699.17,33332.27,67.90
C0003,2022,31373.20,88170.41,39.57
C0003,2023,6619.31,53185.92,46.77
C0003,2024,16749.59,59863.69,48.43
C0004,2015,32794.50,27352.59,30.75
C0004,2016,14436.10,80911.04,31.25
C0004,2017,44135.30,93359.62,30.39
C0004,2018,33400.19,80286.96,56.52
C0004,2019,43643.64,51821.62,67.19
C0004,2020,20374.14,84333.45,61.35
C0004,2021,2665.27,22856.09,88.44
C0004,2022,29230.86,15774.30,28.81
C0004,2023,17620.48,46630.82,89.05
C0004,2024,22961.23,22245.77,52.67
C0005,2015,34374.40,29620.25,35.30
C0005,2016,35332.57,60586.09,86.03
C0005,2017,2350.26,43370.80,52.80
C0005,2018,38695.83,87258.44,44.31
C0005,2019,25182.43,26433.17,34.97
C0005,2020,28278.24,99695.12,38.75
C0005,2021,15601.72,39142.37,88.55
C0005,2022,21620.86,53963.27,41.28
C0005,2023,35808.38,17571.55,88.45
C0005,2024,39058.98,60033.41,43.12
C0006,2015,19968.20,96322.06,36.20
C0006,2016,34864.76,76192.79,32.84
C0006,2017,13644.13,28185.18,48.83
C0006,2018,41769.11,47048.11,36.58
C0006,2019,30880.90,45416.16,68.79
C0006,2020,38984.14,14305.04,36.78
C0006,2021,24380.59,89155.77,78.48
C0006,2022,12226.35,41238.32,78.38
C0006,2023,22032.32,51954.66,39.99
C0006,2024,19692.78,32668.54,72.75
C0007,2015,17303.11,19477.58,80.03
C0007,2016,11396.51,90700.51,61.31
C0007,2017,38199.19,8552.76,45.64
C0007,2018,5231.23,42988.55,50.87
C0007,2019,44490.49,74416.07,75.04
C0007,2020,9576.21,34341.50,40.53
C0007,2021,49013.81,47372.72,43.41
C0007,2022,49434.93,58625.34,31.25
C0007,2023,20520.97,99532.75,47.93
C0007,2024,49403.23,77038.63,26.06
