Company_ID,Year,Environmental_Score,Social_Score,Governance_Score,ESG_Score
C0001,2015,58.73,59.68,58.68,59.03
C0001,2016,87.54,63.67,56.65,69.28
C0001,2017,76.60,82.73,48.81,69.38
C0001,2018,69.93,57.00,70.36,65.77
C0001,2019,47.80,83.48,63.83,65.04
C0001,2020,47.80,44.41,83.29,58.50
C0001,2021,42.90,78.84,41.61,54.45
C0001,2022,83.31,82.38,72.19,79.29
C0001,2023,70.06,49.09,78.15,65.76
C0001,2024,75.40,61.52,77.97,71.63
C0002,2015,41.03,48.27,84.30,57.87
C0002,2016,88.50,75.33,76.45,80.09
C0002,2017,81.62,66.77,86.39,78.26
C0002,2018,50.62,71.77,56.63,59.67
C0002,2019,49.09,49.82,65.16,54.69
C0002,2020,49.17,50.59,40.70,46.82
C0002,2021,55.21,42.07,40.35,45.88
C0002,2022,66.24,56.10,52.01,58.12
C0002,2023,61.60,67.99,45.04,58.21
C0002,2024,54.56,82.90,53.01,63.49
C0003,2015,70.59,73.35,48.85,64.26
C0003,2016,46.97,61.77,41.43,50.06
C0003,2017,54.61,87.66,85.47,75.91
C0003,2018,58.32,75.96,40.41,58.23
C0003,2019,62.80,86.51,76.80,75.37
C0003,2020,79.26,66.38,47.61,64.42
C0003,2021,49.98,52.95,85.61,62.85
C0003,2022,65.71,42.64,84.64,64.33
C0003,2023,69.62,76.30,72.70,72.87
C0003,2024,42.32,46.07,73.61,54.00
C0004,2015,70.38,55.14,40.27,55.26
C0004,2016,48.53,66.62,89.24,68.13
C0004,2017,43.25,68.22,83.89,65.12
C0004,2018,87.44,70.03,84.76,80.74
C0004,2019,88.28,48.31,72.96,69.85
C0004,2020,80.42,58.99,57.24,65.55
C0004,2021,55.23,70.86,84.68,70.26
C0004,2022,44.88,88.49,54.58,62.65
C0004,2023,74.21,76.38,68.14,72.91
C0004,2024,62.01,86.13,44.99,64.37
C0005,2015,46.10,78.11,86.10,70.10
C0005,2016,64.76,69.59,47.04,60.46
C0005,2017,41.72,49.60,51.24,47.52
C0005,2018,85.47,73.33,67.91,75.57
C0005,2019,52.94,71.17,78.20,67.44
C0005,2020,73.13,70.12,70.97,71.41
C0005,2021,55.59,64.49,51.61,57.23
C0005,2022,66.00,66.43,40.05,57.49
C0005,2023,67.34,56.72,77.86,67.31
C0005,2024,49.24,65.97,89.26,68.16
C0006,2015,88.48,49.88,80.50,72.95
C0006,2016,78.76,80.26,63.01,74.01
C0006,2017,86.97,49.29,85.19,73.82
C0006,2018,84.74,44.25,60.49,63.16
C0006,2019,69.89,61.81,66.25,65.98
C0006,2020,86.09,72.92,63.86,74.29
C0006,2021,44.42,61.89,62.38,56.23
C0006,2022,49.80,53.84,78.76,60.80
C0006,2023,42.26,67.91,66.34,58.84
C0006,2024,56.27,57.35,55.84,56.48
C0007,2015,59.43,86.64,52.91,66.33
C0007,2016,53.57,86.13,41.89,60.53
C0007,2017,81.44,65.12,69.16,71.91
C0007,2018,57.84,56.39,51.50,55.24
C0007,2019,54.05,76.86,47.41,59.44
C0007,2020,67.13,41.84,72.69,60.55
C0007,2021,47.05,63.74,74.06,61.62
C0007,2022,80.11,56.82,77.61,71.51
C0007,2023,43.73,86.03,65.18,64.98
C0007,2024,89.34,40.60,84.70,71.55
C0008,2015,78.61,67.64,86.82,77.69
C0008,2016,49.94,77.03,80.37,69.11
C0008,2017,40.28,64.25,71.78,58.77
C0008,2018,80.77,44.27,55.19,60.08
C0008,2019,75.34,88.62,89.15,84.37
C0008,2020,76.45,65.90,53.71,65.35
C0008,2021,78.56,70.71,50.13,66.47
C0008,2022,43.70,51.83,62.11,52.55
C0008,2023,57.92,64.17,42.84,54.98
C0008,2024,45.79,61.46,88.92,65.39
C0009,2015,83.16,43.74,69.42,65.44
C0009,2016,71.16,45.31,67.85,61.44
C0009,2017,56.54,81.87,72.79,70.40
C0009,2018,43.18,51.99,64.85,53.34
C0009,2019,55.55,49.75,41.60,48.97
C0009,2020,56.26,65.25,70.62,64.04
C0009,2021,76.48,78.44,75.81,76.91
C0009,2022,71.88,43.10,60.84,58.60
C0009,2023,84.36,68.84,77.86,77.02
