Company_ID,Year,Revenue,Net_Income,ROA,ROE
C0001,2015,5046.74,804.95,3.20,17.76
C0001,2016,7492.79,582.02,2.79,14.19
C0001,2017,5670.40,578.36,9.85,24.29
C0001,2018,924.70,138.23,14.56,9.38
C0001,2019,1937.24,236.95,8.54,16.76
C0001,2020,2271.35,365.20,2.67,19.00
C0001,2021,2652.86,515.13,4.88,21.51
C0001,2022,5697.49,384.48,5.18,13.14
C0001,2023,5089.26,796.14,6.39,18.74
C0001,2024,2111.28,178.51,2.57,11.06
C0002,2015,768.79,86.24,13.76,13.71
C0002,2016,1797.18,98.72,8.70,22.91
C0002,2017,9845.37,692.98,10.72,24.00
C0002,2018,4738.61,464.23,2.87,19.38
C0002,2019,8686.72,879.95,2.70,12.49
C0002,2020,8502.65,1572.46,9.62,21.40
C0002,2021,5164.04,832.82,13.53,5.52
C0002,2022,7096.21,1389.63,8.87,7.05
C0002,2023,2008.24,280.87,13.41,18.23
C0002,2024,6915.13,596.48,12.54,10.82
C0003,2015,2796.61,277.28,2.99,24.03
C0003,2016,8337.41,816.86,4.63,13.72
C0003,2017,928.87,91.93,10.55,13.59
C0003,2018,7754.07,1170.44,7.77,18.56
C0003,2019,1089.38,141.21,5.78,20.35
C0003,2020,8823.77,951.32,7.44,14.51
C0003,2021,3111.62,225.17,7.79,9.28
C0003,2022,6578.49,350.77,13.84,20.47
C0003,2023,4926.27,408.02,3.34,11.41
C0003,2024,3726.40,246.39,5.64,8.50
C0004,2015,6489.87,1089.11,8.99,17.63
C0004,2016,9480.48,634.00,11.08,6.81
C0004,2017,508.57,80.68,10.20,24.43
C0004,2018,9196.64,991.85,14.24,17.65
C0004,2019,6129.91,373.97,12.34,24.72
C0004,2020,8092.41,1391.16,9.24,11.78
C0004,2021,3900.36,534.13,4.79,24.42
C0004,2022,4771.25,407.29,7.86,7.91
C0004,2023,8701.62,1602.86,11.01,5.81
C0004,2024,4206.99,238.91,12.89,5.66
C0005,2015,5393.13,432.92,14.48,14.30
C0005,2016,299.93,48.83,9.87,6.66
C0005,2017,1670.12,261.22,8.85,15.24
C0005,2018,6452.70,602.62,2.23,11.55
C0005,2019,7198.07,426.87,2.94,11.71
C0005,2020,5867.75,1048.64,4.03,17.71
C0005,2021,1518.77,147.40,2.71,8.26
C0005,2022,4509.51,357.86,7.21,20.33
C0005,2023,3615.44,460.64,6.38,16.64
C0005,2024,5007.05,933.98,10.29,23.30
C0006,2015,8716.26,492.75,8.96,12.30
C0006,2016,7781.03,1282.86,9.75,24.65
C0006,2017,931.50,126.56,8.14,16.52
C0006,2018,8914.06,1014.57,5.61,24.47
C0006,2019,4770.49,770.97,14.39,5.54
C0006,2020,7464.24,1454.58,3.12,19.56
C0006,2021,1486.39,125.42,14.21,21.33
C0006,2022,6740.12,482.24,6.05,6.06
C0006,2023,2439.63,456.05,8.66,16.58
C0006,2024,4439.97,667.52,3.41,21.04
C0007,2015,266.94,30.88,2.92,16.22
C0007,2016,1600.95,217.71,7.58,6.28
C0007,2017,1011.60,163.72,11.64,18.87
C0007,2018,2473.47,410.48,5.50,6.21
C0007,2019,1090.18,204.94,9.31,21.35
C0007,2020,6949.91,792.47,5.62,5.86
C0007,2021,387.50,36.43,7.05,7.75
C0007,2022,6215.63,907.17,13.78,10.50
C0007,2023,1493.01,167.75,13.13,17.67
C0007,2024,9457.10,1316.33,8.71,24.53
C0008,2015,9337.63,1055.13,5.10,7.36
C0008,2016,2332.48,170.15,4.51,7.85
C0008,2017,6182.77,744.49,14.40,12.38
C0008,2018,377.25,57.96,4.64,21.72
C0008,2019,9324.71,1584.20,12.51,14.34
C0008,2020,5277.57,654.41,6.80,11.43
C0008,2021,527.91,39.48,14.81,16.22
C0008,2022,3490.75,391.67,6.79,10.21
C0008,2023,860.81,144.57,6.57,13.02
C0008,2024,3990.15,446.61,10.29,11.65
C0009,2015,6732.27,1040.00,14.50,21.08
C0009,2016,4751.91,599.13,14.69,23.49
C0009,2017,3898.85,336.02,11.19,20.19
C0009,2018,1279.65,216.80,11.81,13.78
C0009,2019,2524.90,158.14,9.32,15.09
C0009,2020,1091.42,140.50,11.83,7.50
C0009,2021,8094.24,658.33,13.18,19.94
C0009,2022,1438.87,86.42,8.32,16.93
C0009,2023,5994.20,751.91,10.06,23.05
C0009,2024,3493.13,436.41,8.99,9.01
C0010,2015,2337.19,364.68,9.31,20.19
C0010,2016,6430.74,1039.93,13.57,18.69
C0010,2017,4624.32,736.05,6.62,10.32
C0010,2018,4061.44,452.58,4.71,18.35
C0010,2019,5969.23,864.07,7.93,23.49
C0010,2020,4963.55,677.73,4.71,23.37
C0010,2021,3104.49,351.54,8.48,19.39
C0010,2022,5634.71,786.50,13.75,5.96
C0010,2023,6728.04,1292.37,10.03,22.45
C0010,2024,364.26,28.75,13.12,18.16
C0011,2015,4712.13,875.82,4.16,11.21
C0011,2016,671.06,38.93,13.71,8.75
C0011,2017,1945.41,187.26,9.82,7.32
C0011,2018,5649.04,526.61,2.41,6.00
C0011,2019,8675.27,1248.85,10.23,20.08
C0011,2020,8839.78,615.99,14.37,9.72
C0011,2021,792.45,144.50,3.03,5.49
C0011,2022,4249.14,740.55,9.57,12.95
C0011,2023,5871.76,867.90,13.90,14.65
C0011,2024,1555.99,184.79,2.13,8.38
C0012,2015,7677.78,1458.34,10.20,5.88
C0012,2016,7467.93,1303.99,8.17,8.78
C0012,2017,9043.08,1129.46,6.51,18.58
C0012,2018,184.01,28.57,10.16,6.64
C0012,2019,2245.17,303.19,2.69,16.10
C0012,2020,8289.15,1145.49,11.79,7.93
C0012,2021,6738.74,671.49,2.06,8.91
C0012,2022,8954.46,1068.38,5.99,12.86
C0012,2023,666.08,41.11,8.55,7.02
C0012,2024,6009.94,622.64,6.90,8.46
C0013,2015,5733.56,885.11,6.00,11.98
C0013,2016,453.18,87.46,12.80,11.59
C0013,2017,5183.87,1008.05,14.15,19.99
C0013,2018,6134.25,818.05,13.36,6.50
C0013,2019,1993.80,281.11,8.79,22.21
C0013,2020,2805.96,218.47,13.49,21.32
C0013,2021,6439.44,993.58,13.97,20.32
C0013,2022,4736.18,287.01,7.32,11.19
C0013,2023,8594.34,796.72,5.68,21.46
C0013,2024,3489.58,524.33,3.28,8.66
C0014,2015,2739.93,264.53,8.23,7.49
