Company_ID,Year,Board_Independence,Female_Board,Exec_Comp_to_Revenue
C0001,2015,82.73,13.02,5.39
C0001,2016,55.81,43.47,5.54
C0001,2017,87.86,48.01,2.89
C0001,2018,83.73,32.44,2.16
C0001,2019,86.75,32.07,1.96
C0001,2020,61.43,36.76,5.41
C0001,2021,63.42,24.11,2.16
C0001,2022,68.80,16.63,3.65
C0001,2023,58.97,12.66,2.66
C0001,2024,68.62,45.24,3.49
C0002,2015,50.37,31.89,2.73
C0002,2016,85.10,37.76,2.46
C0002,2017,56.49,23.28,3.14
C0002,2018,70.03,42.28,2.66
C0002,2019,87.15,24.00,5.20
C0002,2020,82.84,11.19,3.90
C0002,2021,81.04,23.48,1.88
C0002,2022,74.22,44.01,2.18
C0002,2023,67.45,45.04,1.27
C0002,2024,67.84,47.39,2.50
C0003,2015,53.48,29.98,4.35
C0003,2016,52.59,48.26,1.91
C0003,2017,83.74,29.97,1.50
C0003,2018,66.35,16.16,2.61
C0003,2019,52.16,30.08,4.06
C0003,2020,76.52,44.74,3.36
C0003,2021,77.33,41.43,2.66
C0003,2022,59.10,27.36,5.41
C0003,2023,66.43,18.50,3.34
C0003,2024,72.94,33.24,3.28
C0004,2015,73.85,47.25,1.16
C0004,2016,70.44,17.10,4.20
C0004,2017,64.57,43.08,3.30
C0004,2018,52.75,15.89,1.73
C0004,2019,50.89,46.78,2.22
C0004,2020,68.38,37.73,2.01
C0004,2021,58.12,14.37,1.61
C0004,2022,87.54,18.10,3.18
C0004,2023,75.62,47.08,2.82
C0004,2024,73.42,30.30,2.80
C0005,2015,66.26,28.14,2.26
C0005,2016,63.18,12.33,3.18
C0005,2017,57.19,13.36,3.74
C0005,2018,52.41,37.67,4.06
C0005,2019,75.38,41.08,2.10
C0005,2020,81.17,44.68,4.64
C0005,2021,84.31,30.11,1.14
C0005,2022,78.97,23.14,4.75
C0005,2023,85.88,35.02,2.41
C0005,2024,89.31,34.76,2.85
C0006,2015,88.47,11.39,3.90
C0006,2016,73.69,47.55,4.05
C0006,2017,58.97,35.70,3.11
C0006,2018,54.25,10.26,5.69
C0006,2019,89.76,48.39,5.29
C0006,2020,62.34,48.11,2.13
C0006,2021,51.36,47.84,3.94
C0006,2022,65.64,45.56,4.60
C0006,2023,79.92,17.39,2.08
C0006,2024,85.63,49.09,1.09
C0007,2015,69.10,40.48,5.88
C0007,2016,61.76,35.63,5.79
C0007,2017,81.14,47.71,2.60
C0007,2018,70.15,25.24,2.20
C0007,2019,53.44,47.25,1.77
C0007,2020,85.51,34.23,4.44
C0007,2021,76.23,33.17,4.78
C0007,2022,51.47,35.84,3.10
C0007,2023,50.36,40.17,2.21
C0007,2024,53.51,27.80,3.24
C0008,2015,82.88,49.22,3.58
C0008,2016,69.25,13.54,3.72
C0008,2017,63.41,46.55,3.22
C0008,2018,59.97,36.30,1.02
