Company_ID,Year,Controversy_Score,Regulatory_Fines,ESG_Risk_Rating
C0001,2015,68.99,29.04,High
C0001,2016,9.03,26.35,Low
C0001,2017,29.49,17.55,Low
C0001,2018,64.15,24.66,High
C0001,2019,60.21,18.25,High
C0001,2020,66.82,32.90,High
C0001,2021,12.44,41.75,Low
C0001,2022,51.53,39.34,Medium
C0001,2023,92.76,17.03,High
C0001,2024,95.38,25.47,High
C0002,2015,12.67,0.53,Low
C0002,2016,89.44,43.51,High
C0002,2017,57.65,12.27,Medium
C0002,2018,75.29,22.05,High
C0002,2019,15.06,7.63,Low
C0002,2020,73.79,33.91,High
C0002,2021,7.11,27.26,Low
C0002,2022,63.30,18.24,High
C0002,2023,66.81,26.76,High
C0002,2024,66.47,8.44,High
C0003,2015,5.87,38.78,Low
C0003,2016,38.42,13.30,Medium
C0003,2017,74.44,30.75,High
C0003,2018,79.68,44.97,High
C0003,2019,41.55,1.93,Medium
C0003,2020,16.20,19.38,Low
C0003,2021,49.94,6.75,Medium
C0003,2022,65.03,45.43,High
C0003,2023,92.04,18.00,High
C0003,2024,68.13,10.67,High
C0004,2015,82.27,33.82,High
C0004,2016,26.47,27.16,Low
C0004,2017,83.32,40.85,High
C0004,2018,61.20,37.65,High
C0004,2019,54.90,48.73,Medium
C0004,2020,26.69,4.53,Low
C0004,2021,20.39,4.01,Low
C0004,2022,54.39,45.37,Medium
C0004,2023,89.14,47.79,High
C0004,2024,23.54,20.33,Low
C0005,2015,27.87,22.79,Low
C0005,2016,94.79,18.43,High
C0005,2017,2.66,38.88,Low
C0005,2018,48.54,38.54,Medium
C0005,2019,52.88,11.02,Medium
C0005,2020,67.57,19.19,High
C0005,2021,19.40,10.62,Low
C0005,2022,57.14,2.33,Medium
C0005,2023,10.95,2.81,Low
C0005,2024,26.70,7.34,Low
C0006,2015,1.51,1.49,Low
C0006,2016,45.34,21.16,Medium
C0006,2017,17.51,3.20,Low
C0006,2018,9.68,42.37,Low
C0006,2019,34.43,35.60,Medium
C0006,2020,7.92,39.18,Low
C0006,2021,66.44,30.87,High
C0006,2022,20.09,33.19,Low
C0006,2023,71.03,5.67,High
C0006,2024,83.99,2.91,High
C0007,2015,74.13,49.46,High
C0007,2016,76.29,18.65,High
C0007,2017,64.38,2.56,High
C0007,2018,37.63,7.98,Medium
C0007,2019,34.85,43.71,Medium
C0007,2020,56.89,10.29,Medium
C0007,2021,24.80,23.35,Low
C0007,2022,34.46,33.37,Medium
C0007,2023,15.53,48.29,Low
C0007,2024,78.01,0.70,High
C0008,2015,73.56,24.38,High
C0008,2016,50.33,49.80,Medium
C0008,2017,36.96,6.09,Medium
C0008,2018,69.67,6.19,High
C0008,2019,8.47,4.35,Low
C0008,2020,4.77,25.39,Low
C0008,2021,69.98,17.42,High
C0008,2022,55.01,35.81,Medium
C0008,2023,73.32,28.56,High
C0008,2024,27.96,29.04,Low
C0009,2015,10.83,25.55,Low
C0009,2016,43.00,49.60,Medium
C0009,2017,42.67,26.95,Medium
C0009,2018,75.91,3.62,High
C0009,2019,12.21,16.11,Low
C0009,2020,94.61,39.03,High
C0009,2021,5.60,31.42,Low
C0009,2022,31.29,34.20,Medium
C0009,2023,70.30,46.09,High
C0009,2024,71.75,22.19,High
C0010,2015,56.71,0.98,Medium
C0010,2016,7.09,49.50,Low
C0010,2017,85.64,22.73,High
C0010,2018,63.47,4.88,High
C0010,2019,75.88,27.43,High
C0010,2020,38.62,29.51,Medium
C0010,2021,24.34,28.22,Low
C0010,2022,72.01,48.25,High
C0010,2023,81.55,15.98,High
C0010,2024,81.25,1.73,High
C0011,2015,71.72,45.99,High
C0011,2016,13.89,9.56,Low
C0011,2017,22.18,37.47,Low
C0011,2018,50.04,10.20,Medium
C0011,2019,50.74,41.45,Medium
C0011,2020,48.85,45.32,Medium
C0011,2021,82.60,5.27,High
C0011,2022,12.54,7.36,Low
C0011,2023,79.23,46.26,High
C0011,2024,2.23,38.54,Low
C0012,2015,32.31,1.94,Medium
C0012,2016,19.65,9.11,Low
C0012,2017,52.66,20.60,Medium
C0012,2018,52.39,43.21,Medium
C0012,2019,50.65,7.55,Medium
C0012,2020,28.88,36.21,Low
C0012,2021,52.18,4.19,Medium
C0012,2022,70.58,23.36,High
C0012,2023,39.38,36.45,Medium
C0012,2024,92.86,3.24,High
C0013,2015,6.85,10.21,Low
C0013,2016,98.71,39.59,High
C0013,2017,76.14,8.18,High
C0013,2018,59.32,33.38,Medium
C0013,2019,20.33,32.11,Low
C0013,2020,62.73,26.02,High
C0013,2021,80.21,10.09,High
C0013,2022,25.36,20.85,Low
C0013,2023,3.99,31.09,Low
C0013,2024,44.28,44.09,Medium
C0014,2015,30.44,39.89,Medium
C0014,2016,28.61,30.37,Low
C0014,2017,72.48,11.42,High
C0014,2018,14.80,10.83,Low
C0014,2019,65.09,40.69,High
C0014,2020,6.13,33.22,Low
C0014,2021,91.99,17.90,High
C0014,2022,58.61,48.57,Medium
C0014,2023,93.10,44.49,High
C0014,2024,86.79,33.58,High
C0015,2015,86.98,18.46,High
C0015,2016,11.98,15.44,Low
C0015,2017,69.59,46.97,High
C0015,2018,40.04,22.17,Medium
C0015,2019,45.91,40.00,Medium
C0015,2020,27.91,46.99,Low
C0015,2021,13.98,24.60,Low
C0015,2022,30.63,32.66,Medium
C0015,2023,54.95,4.31,Medium
C0015,2024,41.00,32.63,Medium
C0016,2015,70.39,10.75,High
C0016,2016,83.90,33.53,High
C0016,2017,21.07,5.05,Low
C0016,2018,5.63,24.76,Low
C0016,2019,99.08,26.05,High
C0016,2020,88.26,24.18,High
C0016,2021,26.51,37.84,Low
C0016,2022,16.26,37.73,Low
C0016,2023,95.10,35.32,High
C0016,2024,23.24,31.58,Low
C0017,2015,22.19,45.22,Low
C0017,2016,10.98,28.78,Low
C0017,2017,28.79,17.42,Low
C0017,2018,84.10,2.96,High
C0017,2019,56.98,26.79,Medium
C0017,2020,9.20,11.39,Low
C0017,2021,96.74,19.35,High
C0017,2022,53.95,2.50,Medium
C0017,2023,41.67,32.04,Medium
C0017,2024,78.42,44.33,High
C0018,2015,56.03,16.26,Medium
C0018,2016,89.58,40.24,High
C0018,2017,70.24,6.32,High
C0018,2018,66.82,36.16,High
C0018,2019,33.77,3.99,Medium
C0018,2020,98.98,12.93,High
C0018,2021,65.19,18.01,High
C0018,2022,44.19,7.84,Medium
C0018,2023,14.75,9.22,Low
C0018,2024,55.56,34.95,Medium
C0019,2015,66.62,4.79,High
C0019,2016,37.15,46.70,Medium
C0019,2017,6.46,38.42,Low
C0019,2018,79.84,17.84,High
C0019,2019,65.40,31.44,High
C0019,2020,68.46,35.97,High
C0019,2021,24.50,29.72,Low
C0019,2022,13.07,30.91,Low
C0019,2023,45.21,45.80,Medium
C0019,2024,24.13,44.05,Low
C0020,2015,78.10,45.69,High
C0020,2016,53.20,44.26,Medium
C0020,2017,13.20,34.27,Low
C0020,2018,19.63,24.59,Low
C0020,2019,88.69,24.37,High
C0020,2020,63.16,38.58,High
C0020,2021,40.06,46.20,Medium
C0020,2022,72.08,4.40,High
C0020,2023,80.89,43.84,High
C0020,2024,11.44,42.48,Low
C0021,2015,84.20,4.38,High
C0021,2016,94.65,32.83,High
C0021,2017,9.00,48.59,Low
C0021,2018,32.41,42.58,Medium
C0021,2019,16.79,3.14,Low
C0021,2020,43.00,46.26,Medium
C0021,2021,22.01,8.65,Low
C0021,2022,36.24,3.62,Medium
