Company_ID,Year,Employee_Turnover,Diversity,Training_Hours
C0001,2015,14.34,21.71,10.09
C0001,2016,11.65,53.14,58.00
C0001,2017,19.76,29.97,36.77
C0001,2018,7.45,31.36,45.02
C0001,2019,20.01,29.05,55.63
C0001,2020,8.22,53.60,31.66
C0001,2021,11.12,59.16,32.03
C0001,2022,11.67,50.21,18.35
C0001,2023,24.81,52.94,55.29
C0001,2024,16.80,44.82,42.38
C0002,2015,20.55,41.15,19.01
C0002,2016,16.11,48.86,37.99
C0002,2017,24.66,21.43,26.41
C0002,2018,8.55,22.46,17.36
C0002,2019,17.10,47.49,19.09
C0002,2020,20.95,33.40,37.96
C0002,2021,17.57,39.55,38.22
C0002,2022,22.94,51.28,49.50
C0002,2023,17.01,43.09,22.40
C0002,2024,21.53,52.21,55.79
C0003,2015,8.52,36.77,35.93
C0003,2016,10.24,31.50,20.21
C0003,2017,13.88,29.39,30.66
C0003,2018,22.03,25.27,56.17
C0003,2019,13.53,21.47,33.91
C0003,2020,17.55,22.13,53.74
C0003,2021,12.92,30.84,17.99
C0003,2022,21.11,31.14,55.70
C0003,2023,9.01,35.27,31.53
C0003,2024,16.88,43.66,56.81
C0004,2015,16.56,50.37,53.30
C0004,2016,13.06,27.91,43.00
C0004,2017,19.10,50.37,43.64
C0004,2018,5.57,25.56,20.58
C0004,2019,21.83,59.55,40.14
C0004,2020,11.96,31.40,37.47
C0004,2021,20.86,53.49,26.71
C0004,2022,11.10,27.62,35.28
C0004,2023,8.76,58.03,56.46
C0004,2024,12.79,53.07,10.27
C0005,2015,20.95,34.38,30.86
C0005,2016,19.07,36.86,26.68
C0005,2017,13.02,20.15,58.06
C0005,2018,23.76,30.06,58.69
C0005,2019,13.18,31.57,39.28
C0005,2020,12.02,38.11,37.50
C0005,2021,7.89,25.56,55.16
C0005,2022,6.41,39.15,10.33
C0005,2023,12.00,46.74,38.11
C0005,2024,6.84,34.85,11.23
C0006,2015,14.25,29.29,58.41
C0006,2016,22.20,41.91,26.01
C0006,2017,14.52,21.16,36.04
C0006,2018,14.61,33.63,30.88
