Company_ID,Year,Stock_Price_Start,Stock_Price_End,Annual_Return,Market_Cap
C0001,2015,125.78,123.19,-2.07,165.64
C0001,2016,17.39,14.90,-14.31,408.55
C0001,2017,126.33,110.64,-12.42,497.19
C0001,2018,27.04,24.56,-9.16,420.54
C0001,2019,144.97,133.69,-7.78,173.73
C0001,2020,84.11,79.52,-5.46,355.91
C0001,2021,169.16,161.26,-4.67,267.43
C0001,2022,189.08,202.96,7.34,393.47
C0001,2023,89.25,98.69,10.57,77.40
C0001,2024,97.51,96.07,-1.47,319.43
C0002,2015,122.13,164.19,34.44,387.06
C0002,2016,47.46,53.71,13.19,380.85
C0002,2017,186.19,236.93,27.25,481.83
C0002,2018,92.27,124.98,35.45,30.15
C0002,2019,41.70,37.44,-10.21,173.54
C0002,2020,154.92,163.71,5.67,238.80
C0002,2021,51.64,54.73,5.99,155.57
C0002,2022,37.27,37.74,1.27,155.58
C0002,2023,116.95,94.18,-19.47,88.89
C0002,2024,137.58,177.43,28.96,406.66
C0003,2015,118.22,102.49,-13.31,454.13
C0003,2016,134.74,188.27,39.73,42.08
C0003,2017,31.95,40.38,26.38,78.29
C0003,2018,100.44,115.31,14.80,115.00
C0003,2019,77.83,69.49,-10.72,254.98
C0003,2020,194.94,216.23,10.92,395.79
C0003,2021,19.43,18.59,-4.33,36.66
C0003,2022,66.68,63.44,-4.86,318.77
C0003,2023,188.95,245.21,29.77,75.52
C0003,2024,196.86,202.45,2.84,485.76
C0004,2015,166.73,178.47,7.04,449.49
C0004,2016,24.44,31.91,30.58,474.84
C0004,2017,116.66,99.47,-14.73,53.98
C0004,2018,86.02,99.51,15.68,244.53
C0004,2019,163.23,187.21,14.69,83.46
C0004,2020,20.45,21.58,5.51,300.58
C0004,2021,47.45,61.59,29.79,117.14
C0004,2022,102.95,140.60,36.57,385.54
C0004,2023,39.95,43.12,7.92,322.36
C0004,2024,141.62,152.05,7.37,286.23
C0005,2015,165.95,182.75,10.12,412.79
C0005,2016,143.86,177.50,23.39,250.64
C0005,2017,93.65,112.46,20.08,135.66
C0005,2018,176.89,165.17,-6.63,310.73
C0005,2019,36.16,30.31,-16.17,478.57
C0005,2020,59.46,81.44,36.96,300.98
C0005,2021,103.01,98.55,-4.34,315.18
C0005,2022,21.65,25.62,18.32,467.44
C0005,2023,28.18,36.55,29.71,258.12
C0005,2024,85.51,83.82,-1.98,498.18
C0006,2015,189.34,223.66,18.13,80.67
C0006,2016,182.60,157.90,-13.53,268.98
C0006,2017,98.54,136.17,38.20,107.24
C0006,2018,37.01,30.90,-16.51,227.21
C0006,2019,43.84,46.60,6.29,86.12
C0006,2020,81.73,91.71,12.21,112.04
C0006,2021,49.91,63.60,27.43,106.19
C0006,2022,25.77,22.48,-12.73,160.70
C0006,2023,138.02,146.92,6.45,68.17
C0006,2024,120.48,118.04,-2.02,404.86
C0007,2015,65.35,64.51,-1.28,111.12
C0007,2016,158.00,200.23,26.73,208.87
C0007,2017,157.43,126.46,-19.67,9.01
C0007,2018,103.29,129.06,24.95,53.34
C0007,2019,28.34,36.45,28.62,448.24
C0007,2020,184.51,247.39,34.08,418.74
C0007,2021,137.05,161.18,17.61,420.62
C0007,2022,56.94,56.94,0.01,206.27
C0007,2023,125.99,133.08,5.63,71.62
C0007,2024,86.95,120.16,38.18,54.84
C0008,2015,130.72,173.68,32.87,303.20
C0008,2016,100.04,107.85,7.81,414.27
C0008,2017,102.24,139.64,36.58,450.16
C0008,2018,149.82,193.83,29.38,145.08
C0008,2019,126.61,169.74,34.07,161.19
C0008,2020,25.19,30.48,20.98,51.34
C0008,2021,22.42,29.47,31.46,387.43
C0008,2022,67.95,90.72,33.51,138.57
